Journal	abbreviate	ISSN	IF	IF_no_self		IF_5_years
CA-A CANCER JOURNAL FOR CLINICIANS	CA-CANCER J CLIN	0007-9235	131.723	131.277		142.204
NEW ENGLAND JOURNAL OF MEDICINE	NEW ENGL J MED	0028-4793	59.558	58.913		56.170
NATURE REVIEWS DRUG DISCOVERY	NAT REV DRUG DISCOV	1474-1776	47.120	46.470		43.016
LANCET	LANCET	0140-6736	44.002	42.580		46.119
NATURE BIOTECHNOLOGY	NAT BIOTECHNOL	1087-0156	43.113	42.069		41.388
NATURE REVIEWS IMMUNOLOGY	NAT REV IMMUNOL	1474-1733	39.416	39.008		39.328
NATURE MATERIALS	NAT MATER	1476-1122	38.891	38.533		45.772
NATURE REVIEWS MOLECULAR CELL BIOLOGY	NAT REV MOL CELL BIO	1471-0072	38.602	38.325		40.923
NATURE	NATURE	0028-0836	38.138	37.546		41.458
Annual Review of Astronomy and Astrophysics	ANNU REV ASTRON ASTR	0066-4146	37.846	37.231		31.586
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	JAMA-J AM MED ASSOC	0098-7484	37.684	36.857		33.569
CHEMICAL REVIEWS	CHEM REV	0009-2665	37.369	36.920		51.560
NATURE REVIEWS GENETICS	NAT REV GENET	1471-0056	35.898	35.504		41.215
Annual Review of Immunology	ANNU REV IMMUNOL	0732-0582	35.543	35.543		40.445
Nature Nanotechnology	NAT NANOTECHNOL	1748-3387	35.267	34.774		40.632
SCIENCE	SCIENCE	0036-8075	34.661	34.213		34.921
NATURE REVIEWS CANCER	NAT REV CANCER	1474-175X	34.244	34.000		42.340
CHEMICAL SOCIETY REVIEWS	CHEM SOC REV	0306-0012	34.090	33.450		36.630
REVIEWS OF MODERN PHYSICS	REV MOD PHYS	0034-6861	33.177	32.962		46.681
Living Reviews in Relativity	LIVING REV RELATIV	1433-8351	32.000	31.750		26.333
NATURE GENETICS	NAT GENET	1061-4036	31.616	30.849		32.197
Nature Photonics	NAT PHOTONICS	1749-4885	31.167	30.535		34.159
PROGRESS IN MATERIALS SCIENCE	PROG MATER SCI	0079-6425	31.083	30.854		33.505
PHYSIOLOGICAL REVIEWS	PHYSIOL REV	0031-9333	30.924	30.803		35.523
NATURE MEDICINE	NAT MED	1078-8956	30.357	30.041		28.439
NATURE REVIEWS NEUROSCIENCE	NAT REV NEUROSCI	1471-003X	29.298	29.033		35.142
CELL	CELL	0092-8674	28.710	28.123		32.857
Nature Chemistry	NAT CHEM	1755-4330	27.893	27.660		27.567
PROGRESS IN POLYMER SCIENCE	PROG POLYM SCI	0079-6700	27.184	26.752		33.920
LANCET ONCOLOGY	LANCET ONCOL	1470-2045	26.509	25.813		28.181
